tube,achmil,camrot
A1,2.7829,2.1198
A2,3.7552,1.9676
A3,2.5106,1.8105
B1,2.5466,1.9426
B2,2.3542,1.4173
B3,2.7406,1.7956
C1,2.8422,2.4952
C2,1.6543,2.367
C3,2.2756,1.5007
D1,1.8513,1.9899
D2,2.8494,1.8328
D3,3.281,1.875
E1,2.9889,1.7273
E2,3.066,2.7765
E3,2.1311,1.8926
F1,3.2088,1.8523
F2,2.8598,2.6197
F3,2.8765,1.8478
G1,2.766,3.4606
G2,3.6207,1.624
G3,5.2867,1.5554
H1,3.8016,1.125
H2,5.9151,2.0044
H3,4.4925,0.9646
I1,2.9223,0.6176
I2,3.6786,0.2217
I3,4.5467,1.8035
J1,2.9426,1.3977
J2,3.6853,1.6469
J3,2.8158,0.6958
,,
,,
,,
,,
,,
