tube,pot,species,worms,shootbiomass,rootbiomass,initialleaflength
H,H1,ACHMIL,absent,2.8765,3.4366,32.07
F,F5,CAMROT,absent,2.7765,1.2232,10.79
G,G4,ACHMIL,absent,2.1311,1.5024,28.23
G,G2,CAMROT,absent,2.6197,0.5778,10.15
L,L1,ACHMIL,absent,2.9426,1.0198,36.4
A,A2,ACHMIL,absent,2.7829,3.3031,33.27
E,E4,CAMROT,absent,1.8328,1.0267,8.75
D,D3,CAMROT,absent,2.4952,1.1754,12.43
D,D5,CAMROT,absent,2.367,0.8914,9.32
B,B5,CAMROT,absent,2.1198,0.9633,10.09
B,B1,ACHMIL,absent,2.7406,2.3398,31.56
K,K3,CAMROT,absent,1.8035,1.0213,12.14
D,D1,ACHMIL,absent,1.8513,1.5574,35.4
F,F3,ACHMIL,absent,2.9889,1.7602,33.02
C,C5,CAMROT,absent,1.9426,1.6464,8.02
G,G1,ACHMIL,absent,3.2088,3.7187,30.37
C,C3,ACHMIL,absent,1.6543,2.3688,34.12
K,K1,ACHMIL,absent,2.9223,2.1632,32.14
L,L5,ACHMIL,absent,3.6853,3.0834,41.91
L,L4,CAMROT,absent,1.6469,0.7516,7.83
G,G5,CAMROT,absent,1.8478,0.7367,9.93
I,I2,ACHMIL,absent,5.2867,2.7094,41.79
K,K4,CAMROT,absent,1.3977,0.7488,9.23
H,H5,CAMROT,absent,3.4606,1.4091,9.26
E,E1,ACHMIL,absent,2.8494,2.0351,37.51
K,K2,ACHMIL,absent,3.6786,3.0516,36.59
B,B3,CAMROT,absent,1.9676,0.7913,10.75
J,J5,CAMROT,absent,2.0044,0.7785,12.6
I,I1,CAMROT,absent,1.5554,0.1935,9.69
E,E5,CAMROT,present,1.875,1.2041,11.15
A,A5,ACHMIL,present,3.7552,3.8266,29.88
I,I4,ACHMIL,present,3.8016,2.7175,40.49
B,B2,ACHMIL,present,2.8422,2.2201,39.47
A,A3,ACHMIL,present,2.5106,3.4729,31.56
A,A4,ACHMIL,present,2.5466,3.5744,39.63
I,I3,ACHMIL,present,5.9151,2.5879,36.83
D,D2,CAMROT,present,1.5007,0.3632,10.73
J,J1,CAMROT,present,0.9646,0.2566,10.37
A,A1,ACHMIL,present,2.3542,2.6048,33.78
C,C1,ACHMIL,present,2.2756,2.2138,29.49
J,J2,ACHMIL,present,4.4925,3.1542,41.52
G,G3,ACHMIL,present,2.8598,1.7201,33.97
H,H3,CAMROT,present,1.624,0.436,10.38
D,D4,CAMROT,present,1.9899,1.3382,11.11
C,C4,CAMROT,present,1.4173,1.0014,8.4
F,F1,CAMROT,present,1.8926,1.3085,6.81
K,K5,ACHMIL,present,4.5467,0.9358,38.02
J,J3,CAMROT,present,0.6176,0.3292,8.73
J,J4,CAMROT,present,0.2217,0.1169,12.02
L,L3,CAMROT,present,0.6958,0.2515,10.53
H,H2,ACHMIL,present,2.766,1.7444,29.14
I,I5,CAMROT,present,1.125,0.2276,8.31
E,E2,ACHMIL,present,3.281,1.5036,36.53
L,L2,ACHMIL,present,2.8158,2.3938,35.92
E,E3,CAMROT,present,1.7273,0.6068,8.16
F,F4,CAMROT,present,1.8523,0.7509,NA
C,C2,CAMROT,present,1.7956,0.9242,8.56
F,F2,ACHMIL,present,3.066,2.2619,35.52
B,B4,CAMROT,present,1.8105,1.3858,11.18
H,H4,ACHMIL,present,3.6207,2.0117,30.33
