tube,pot,species,worms,biomass_type,biomass
H,H1,ACHMIL,absent,Shoot,2.8765
F,F5,CAMROT,absent,Shoot,2.7765
G,G4,ACHMIL,absent,Shoot,2.1311
G,G2,CAMROT,absent,Shoot,2.6197
L,L1,ACHMIL,absent,Shoot,2.9426
A,A2,ACHMIL,absent,Shoot,2.7829
E,E4,CAMROT,absent,Shoot,1.8328
D,D3,CAMROT,absent,Shoot,2.4952
D,D5,CAMROT,absent,Shoot,2.367
B,B5,CAMROT,absent,Shoot,2.1198
B,B1,ACHMIL,absent,Shoot,2.7406
K,K3,CAMROT,absent,Shoot,1.8035
D,D1,ACHMIL,absent,Shoot,1.8513
F,F3,ACHMIL,absent,Shoot,2.9889
C,C5,CAMROT,absent,Shoot,1.9426
G,G1,ACHMIL,absent,Shoot,3.2088
C,C3,ACHMIL,absent,Shoot,1.6543
K,K1,ACHMIL,absent,Shoot,2.9223
L,L5,ACHMIL,absent,Shoot,3.6853
L,L4,CAMROT,absent,Shoot,1.6469
G,G5,CAMROT,absent,Shoot,1.8478
I,I2,ACHMIL,absent,Shoot,5.2867
K,K4,CAMROT,absent,Shoot,1.3977
H,H5,CAMROT,absent,Shoot,3.4606
E,E1,ACHMIL,absent,Shoot,2.8494
K,K2,ACHMIL,absent,Shoot,3.6786
B,B3,CAMROT,absent,Shoot,1.9676
J,J5,CAMROT,absent,Shoot,2.0044
I,I1,CAMROT,absent,Shoot,1.5554
E,E5,CAMROT,present,Shoot,1.875
A,A5,ACHMIL,present,Shoot,3.7552
I,I4,ACHMIL,present,Shoot,3.8016
B,B2,ACHMIL,present,Shoot,2.8422
A,A3,ACHMIL,present,Shoot,2.5106
A,A4,ACHMIL,present,Shoot,2.5466
I,I3,ACHMIL,present,Shoot,5.9151
D,D2,CAMROT,present,Shoot,1.5007
J,J1,CAMROT,present,Shoot,0.9646
A,A1,ACHMIL,present,Shoot,2.3542
C,C1,ACHMIL,present,Shoot,2.2756
J,J2,ACHMIL,present,Shoot,4.4925
G,G3,ACHMIL,present,Shoot,2.8598
H,H3,CAMROT,present,Shoot,1.624
D,D4,CAMROT,present,Shoot,1.9899
C,C4,CAMROT,present,Shoot,1.4173
F,F1,CAMROT,present,Shoot,1.8926
K,K5,ACHMIL,present,Shoot,4.5467
J,J3,CAMROT,present,Shoot,0.6176
J,J4,CAMROT,present,Shoot,0.2217
L,L3,CAMROT,present,Shoot,0.6958
H,H2,ACHMIL,present,Shoot,2.766
I,I5,CAMROT,present,Shoot,1.125
E,E2,ACHMIL,present,Shoot,3.281
L,L2,ACHMIL,present,Shoot,2.8158
E,E3,CAMROT,present,Shoot,1.7273
F,F4,CAMROT,present,Shoot,1.8523
C,C2,CAMROT,present,Shoot,1.7956
F,F2,ACHMIL,present,Shoot,3.066
B,B4,CAMROT,present,Shoot,1.8105
H,H4,ACHMIL,present,Shoot,3.6207
H,H1,ACHMIL,absent,Root,3.4366
F,F5,CAMROT,absent,Root,1.2232
G,G4,ACHMIL,absent,Root,1.5024
G,G2,CAMROT,absent,Root,0.5778
L,L1,ACHMIL,absent,Root,1.0198
A,A2,ACHMIL,absent,Root,3.3031
E,E4,CAMROT,absent,Root,1.0267
D,D3,CAMROT,absent,Root,1.1754
D,D5,CAMROT,absent,Root,0.8914
B,B5,CAMROT,absent,Root,0.9633
B,B1,ACHMIL,absent,Root,2.3398
K,K3,CAMROT,absent,Root,1.0213
D,D1,ACHMIL,absent,Root,1.5574
F,F3,ACHMIL,absent,Root,1.7602
C,C5,CAMROT,absent,Root,1.6464
G,G1,ACHMIL,absent,Root,3.7187
C,C3,ACHMIL,absent,Root,2.3688
K,K1,ACHMIL,absent,Root,2.1632
L,L5,ACHMIL,absent,Root,3.0834
L,L4,CAMROT,absent,Root,0.7516
G,G5,CAMROT,absent,Root,0.7367
I,I2,ACHMIL,absent,Root,2.7094
K,K4,CAMROT,absent,Root,0.7488
H,H5,CAMROT,absent,Root,1.4091
E,E1,ACHMIL,absent,Root,2.0351
K,K2,ACHMIL,absent,Root,3.0516
B,B3,CAMROT,absent,Root,0.7913
J,J5,CAMROT,absent,Root,0.7785
I,I1,CAMROT,absent,Root,0.1935
E,E5,CAMROT,present,Root,1.2041
A,A5,ACHMIL,present,Root,3.8266
I,I4,ACHMIL,present,Root,2.7175
B,B2,ACHMIL,present,Root,2.2201
A,A3,ACHMIL,present,Root,3.4729
A,A4,ACHMIL,present,Root,3.5744
I,I3,ACHMIL,present,Root,2.5879
D,D2,CAMROT,present,Root,0.3632
J,J1,CAMROT,present,Root,0.2566
A,A1,ACHMIL,present,Root,2.6048
C,C1,ACHMIL,present,Root,2.2138
J,J2,ACHMIL,present,Root,3.1542
G,G3,ACHMIL,present,Root,1.7201
H,H3,CAMROT,present,Root,0.436
D,D4,CAMROT,present,Root,1.3382
C,C4,CAMROT,present,Root,1.0014
F,F1,CAMROT,present,Root,1.3085
K,K5,ACHMIL,present,Root,0.9358
J,J3,CAMROT,present,Root,0.3292
J,J4,CAMROT,present,Root,0.1169
L,L3,CAMROT,present,Root,0.2515
H,H2,ACHMIL,present,Root,1.7444
I,I5,CAMROT,present,Root,0.2276
E,E2,ACHMIL,present,Root,1.5036
L,L2,ACHMIL,present,Root,2.3938
E,E3,CAMROT,present,Root,0.6068
F,F4,CAMROT,present,Root,0.7509
C,C2,CAMROT,present,Root,0.9242
F,F2,ACHMIL,present,Root,2.2619
B,B4,CAMROT,present,Root,1.3858
H,H4,ACHMIL,present,Root,2.0117
