id,tubeid,potid,gridid,species,pot,voidtype,datecolonized,worms,dead
T12_4A-1,12,T12_4A,1,ACHMIL,T12_4A,soil,29,absent,0
T12_4A-9,12,T12_4A,9,ACHMIL,T12_4A,soil,29,absent,0
T12_4A-93,12,T12_4A,93,ACHMIL,T12_4A,soil,29,absent,0
T12_4C-30,12,T12_4C,30,CAMROT,T12_4C,soil,29,absent,0
T12_4C-72,12,T12_4C,72,CAMROT,T12_4C,soil,29,absent,0
T12_4E-35,12,T12_4E,35,CAMROT,T12_4E,soil,29,absent,0
T12_4E-50,12,T12_4E,50,CAMROT,T12_4E,soil,29,absent,0
T12_4E-84,12,T12_4E,84,CAMROT,T12_4E,soil,29,absent,0
T12_4E-86,12,T12_4E,86,CAMROT,T12_4E,soil,29,absent,0
T12_4E-87,12,T12_4E,87,CAMROT,T12_4E,soil,29,absent,0
T15_5A-16,15,T15_5A,16,ACHMIL,T15_5A,soil,29,absent,0
T15_5A-19,15,T15_5A,19,ACHMIL,T15_5A,soil,29,absent,0
T15_5D-55,15,T15_5D,55,CAMROT,T15_5D,soil,29,absent,0
T18_6C-74,18,T18_6C,74,ACHMIL,T18_6C,soil,29,absent,0
T18_6C-75,18,T18_6C,75,ACHMIL,T18_6C,soil,29,absent,0
T18_6C-78,18,T18_6C,78,ACHMIL,T18_6C,soil,29,absent,0
T21_7A-2,21,T21_7A,2,ACHMIL,T21_7A,soil,29,absent,0
T21_7A-39,21,T21_7A,39,ACHMIL,T21_7A,soil,29,absent,0
T21_7A-59,21,T21_7A,59,ACHMIL,T21_7A,soil,29,absent,0
T21_7D-107,21,T21_7D,107,ACHMIL,T21_7D,soil,29,absent,0
T21_7E-34,21,T21_7E,34,CAMROT,T21_7E,soil,29,absent,0
T21_7E-35,21,T21_7E,35,CAMROT,T21_7E,soil,29,absent,0
T21_7E-36,21,T21_7E,36,CAMROT,T21_7E,soil,29,absent,0
T21_7E-40,21,T21_7E,40,CAMROT,T21_7E,soil,29,absent,0
T21_7E-41,21,T21_7E,41,CAMROT,T21_7E,soil,29,absent,0
T21_7E-43,21,T21_7E,43,CAMROT,T21_7E,soil,29,absent,0
T21_7E-44,21,T21_7E,44,CAMROT,T21_7E,soil,29,absent,0
T21_7E-46,21,T21_7E,46,CAMROT,T21_7E,soil,29,absent,0
T21_7E-47,21,T21_7E,47,CAMROT,T21_7E,soil,29,absent,0
T21_7E-52,21,T21_7E,52,CAMROT,T21_7E,soil,29,absent,0
T21_7E-55,21,T21_7E,55,CAMROT,T21_7E,soil,29,absent,0
T21_7E-56,21,T21_7E,56,CAMROT,T21_7E,soil,29,absent,0
T21_7E-66,21,T21_7E,66,CAMROT,T21_7E,soil,29,absent,0
T21_7E-67,21,T21_7E,67,CAMROT,T21_7E,soil,29,absent,0
T21_7E-68,21,T21_7E,68,CAMROT,T21_7E,soil,29,absent,0
T21_7E-70,21,T21_7E,70,CAMROT,T21_7E,soil,29,absent,0
T21_7E-71,21,T21_7E,71,CAMROT,T21_7E,soil,29,absent,0
T21_7E-72,21,T21_7E,72,CAMROT,T21_7E,soil,29,absent,0
T21_7E-73,21,T21_7E,73,CAMROT,T21_7E,soil,29,absent,0
T21_7E-74,21,T21_7E,74,CAMROT,T21_7E,soil,29,absent,0
T21_7E-75,21,T21_7E,75,CAMROT,T21_7E,soil,29,absent,0
T21_7E-76,21,T21_7E,76,CAMROT,T21_7E,soil,29,absent,0
T21_7E-77,21,T21_7E,77,CAMROT,T21_7E,soil,29,absent,0
T24_8A-45,24,T24_8A,45,ACHMIL,T24_8A,soil,29,absent,0
T24_8A-48,24,T24_8A,48,ACHMIL,T24_8A,soil,29,absent,0
T24_8A-61,24,T24_8A,61,ACHMIL,T24_8A,soil,29,absent,0
T24_8A-62,24,T24_8A,62,ACHMIL,T24_8A,soil,29,absent,0
T24_8A-64,24,T24_8A,64,ACHMIL,T24_8A,soil,29,absent,0
T24_8A-9,24,T24_8A,9,ACHMIL,T24_8A,soil,29,absent,0
T24_8E-55,24,T24_8E,55,CAMROT,T24_8E,soil,29,absent,0
T24_8E-61,24,T24_8E,61,CAMROT,T24_8E,soil,29,absent,0
T24_8E-70,24,T24_8E,70,CAMROT,T24_8E,soil,29,absent,0
T27_9A-41,27,T27_9A,41,CAMROT,T27_9A,soil,29,absent,0
T27_9A-42,27,T27_9A,42,CAMROT,T27_9A,soil,29,absent,0
T27_9A-56,27,T27_9A,56,CAMROT,T27_9A,soil,29,absent,0
T27_9A-57,27,T27_9A,57,CAMROT,T27_9A,soil,29,absent,0
T27_9B-60,27,T27_9B,60,ACHMIL,T27_9B,soil,29,absent,0
T27_9B-63,27,T27_9B,63,ACHMIL,T27_9B,soil,29,absent,0
T3_1B-61,3,T3_1B,61,ACHMIL,T3_1B,soil,29,absent,0
T3_1B-62,3,T3_1B,62,ACHMIL,T3_1B,soil,29,absent,0
T3_1B-84,3,T3_1B,84,ACHMIL,T3_1B,soil,29,absent,0
T33_11A-25,33,T33_11A,25,ACHMIL,T33_11A,soil,29,absent,0
T33_11A-26,33,T33_11A,26,ACHMIL,T33_11A,soil,29,absent,0
T33_11C-53,33,T33_11C,53,CAMROT,T33_11C,soil,29,absent,0
T33_11C-56,33,T33_11C,56,CAMROT,T33_11C,soil,29,absent,0
T33_11C-77,33,T33_11C,77,CAMROT,T33_11C,soil,29,absent,0
T33_11C-78,33,T33_11C,78,CAMROT,T33_11C,soil,29,absent,0
T33_11C-90,33,T33_11C,90,CAMROT,T33_11C,soil,29,absent,0
T36_12D-100,36,T36_12D,100,CAMROT,T36_12D,soil,29,absent,0
T36_12D-82,36,T36_12D,82,CAMROT,T36_12D,soil,29,absent,0
T6_2C-42,6,T6_2C,42,CAMROT,T6_2C,soil,29,absent,0
T6_2C-48,6,T6_2C,48,CAMROT,T6_2C,soil,29,absent,0
T6_2C-60,6,T6_2C,60,CAMROT,T6_2C,soil,29,absent,0
T6_2E-46,6,T6_2E,46,CAMROT,T6_2E,soil,29,absent,0
T9_3C-12,9,T9_3C,12,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-18,9,T9_3C,18,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-21,9,T9_3C,21,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-30,9,T9_3C,30,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-33,9,T9_3C,33,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-36,9,T9_3C,36,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-38,9,T9_3C,38,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-39,9,T9_3C,39,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-41,9,T9_3C,41,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-42,9,T9_3C,42,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-44,9,T9_3C,44,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-5,9,T9_3C,5,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-58,9,T9_3C,58,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-59,9,T9_3C,59,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-6,9,T9_3C,6,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-8,9,T9_3C,8,ACHMIL,T9_3C,soil,29,absent,0
T9_3C-9,9,T9_3C,9,ACHMIL,T9_3C,soil,29,absent,0
T9_3E-60,9,T9_3E,60,CAMROT,T9_3E,soil,29,absent,0
T12_4B-40,12,T12_4B,40,CAMROT,T12_4B,soil,29,present,0
T12_4B-41,12,T12_4B,41,CAMROT,T12_4B,soil,29,present,0
T12_4B-42,12,T12_4B,42,CAMROT,T12_4B,soil,29,present,0
T12_4B-56,12,T12_4B,56,CAMROT,T12_4B,soil,29,present,0
T12_4B-57,12,T12_4B,57,CAMROT,T12_4B,soil,29,present,0
T12_4B-65,12,T12_4B,65,CAMROT,T12_4B,soil,29,present,0
T12_4B-66,12,T12_4B,66,CAMROT,T12_4B,soil,29,present,0
T12_4D-39,12,T12_4D,39,CAMROT,T12_4D,soil,29,present,0
T12_4D-40,12,T12_4D,40,CAMROT,T12_4D,soil,29,present,0
T12_4D-57,12,T12_4D,57,CAMROT,T12_4D,soil,29,present,0
T12_4D-70,12,T12_4D,70,CAMROT,T12_4D,soil,29,present,0
T12_4D-73,12,T12_4D,73,CAMROT,T12_4D,soil,29,present,0
T12_4D-76,12,T12_4D,76,CAMROT,T12_4D,soil,29,present,0
T12_4D-79,12,T12_4D,79,CAMROT,T12_4D,soil,29,present,0
T15_5B-65,15,T15_5B,65,ACHMIL,T15_5B,soil,29,present,0
T15_5B-74,15,T15_5B,74,ACHMIL,T15_5B,soil,29,present,0
T15_5B-79,15,T15_5B,79,ACHMIL,T15_5B,soil,29,present,0
T15_5C-34,15,T15_5C,34,CAMROT,T15_5C,soil,29,present,0
T15_5C-37,15,T15_5C,37,CAMROT,T15_5C,soil,29,present,0
T15_5C-40,15,T15_5C,40,CAMROT,T15_5C,soil,29,present,0
T15_5C-41,15,T15_5C,41,CAMROT,T15_5C,soil,29,present,0
T15_5C-42,15,T15_5C,42,CAMROT,T15_5C,soil,29,present,0
T15_5C-45,15,T15_5C,45,CAMROT,T15_5C,soil,29,present,0
T15_5C-46,15,T15_5C,46,CAMROT,T15_5C,soil,29,present,0
T15_5C-47,15,T15_5C,47,CAMROT,T15_5C,soil,29,present,0
T15_5C-48,15,T15_5C,48,CAMROT,T15_5C,soil,29,present,0
T15_5C-49,15,T15_5C,49,CAMROT,T15_5C,soil,29,present,0
T15_5C-50,15,T15_5C,50,CAMROT,T15_5C,soil,29,present,0
T15_5C-51,15,T15_5C,51,CAMROT,T15_5C,soil,29,present,0
T15_5C-52,15,T15_5C,52,CAMROT,T15_5C,soil,29,present,0
