id,tubeid,potid,gridid,species,burrow,crack,root,worms,voidtype,day
T21_7A-45,21,T21_7A,45,ACHMIL,0,0,0,absent,soil,29
T6_2C-78,6,T6_2C,78,CAMROT,0,0,0,absent,soil,29
T12_4E-63,12,T12_4E,63,CAMROT,0,0,0,absent,soil,29
T21_7A-36,21,T21_7A,36,ACHMIL,0,0,0,absent,soil,29
T18_6E-91,18,T18_6E,91,CAMROT,0,0,0,absent,soil,29
T12_4E-83,12,T12_4E,83,CAMROT,0,0,0,absent,soil,29
T27_9A-3,27,T27_9A,3,CAMROT,0,0,0,absent,soil,29
T12_4A-53,12,T12_4A,53,ACHMIL,0,0,0,absent,soil,29
T18_6E-53,18,T18_6E,53,CAMROT,0,0,0,absent,soil,29
T15_5A-79,15,T15_5A,79,ACHMIL,0,0,0,absent,soil,29
T36_12D-85,36,T36_12D,85,CAMROT,0,0,0,absent,soil,29
T30_10E-38,30,T30_10E,38,CAMROT,0,0,0,absent,soil,29
T6_2E-108,6,T6_2E,108,CAMROT,0,0,0,absent,soil,29
T18_6E-18,18,T18_6E,18,CAMROT,0,0,0,absent,soil,29
T27_9A-45,27,T27_9A,45,CAMROT,0,0,0,absent,soil,29
T27_9A-15,27,T27_9A,15,CAMROT,0,0,0,absent,soil,29
T21_7A-47,21,T21_7A,47,ACHMIL,0,0,0,absent,soil,29
T36_12A-97,36,T36_12A,97,ACHMIL,0,0,0,absent,soil,29
T27_9A-98,27,T27_9A,98,CAMROT,0,0,0,absent,soil,29
T18_6C-60,18,T18_6C,60,ACHMIL,0,0,0,absent,soil,29
T33_11C-29,33,T33_11C,29,CAMROT,0,0,0,absent,soil,29
T18_6E-38,18,T18_6E,38,CAMROT,0,0,0,absent,soil,29
T15_5D-4,15,T15_5D,4,CAMROT,0,0,0,absent,soil,29
T12_4C-57,12,T12_4C,57,CAMROT,0,0,0,absent,soil,29
T33_11D-29,33,T33_11D,29,CAMROT,0,0,0,absent,soil,29
T24_8A-97,24,T24_8A,97,ACHMIL,0,0,0,absent,soil,29
T9_3C-92,9,T9_3C,92,ACHMIL,0,0,0,absent,soil,29
T6_2A-100,6,T6_2A,100,ACHMIL,0,0,0,absent,soil,29
T36_12A-48,36,T36_12A,48,ACHMIL,0,0,0,absent,soil,29
T33_11B-108,33,T33_11B,108,ACHMIL,0,0,0,absent,soil,29
T33_11D-48,33,T33_11D,48,CAMROT,0,0,0,absent,soil,29
T21_7B-102,21,T21_7B,102,CAMROT,0,0,0,absent,soil,29
T18_6E-21,18,T18_6E,21,CAMROT,0,0,0,absent,soil,29
T6_2E-103,6,T6_2E,103,CAMROT,0,0,0,absent,soil,29
T33_11A-67,33,T33_11A,67,ACHMIL,0,0,0,absent,soil,29
T18_6E-35,18,T18_6E,35,CAMROT,0,0,0,absent,soil,29
T9_3E-42,9,T9_3E,42,CAMROT,0,0,0,absent,soil,29
T24_8A-27,24,T24_8A,27,ACHMIL,0,0,0,absent,soil,29
T9_3C-53,9,T9_3C,53,ACHMIL,0,0,0,absent,soil,29
T24_8A-32,24,T24_8A,32,ACHMIL,0,0,0,absent,soil,29
T27_9A-8,27,T27_9A,8,CAMROT,0,0,0,absent,soil,29
T36_12D-106,36,T36_12D,106,CAMROT,0,0,0,absent,soil,29
